x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
9.013,-0.091,0.022,0.0,0.462968,0.0,0.0,0.0,pickup_rear
9.1129,-0.0873,0.0529,0.1,0.462968,0.2449,0.1134,0.8165,
9.2126,-0.0789,0.1146,0.2,0.771613,0.3238,0.2499,1.1681,
9.3112,-0.0629,0.2072,0.2999,1.080258,0.07,0.0756,1.6757,
9.4076,-0.0363,0.3306,0.3999,1.234568,0.07,0.0864,3.1034,
9.4999,0.0019,0.4541,0.4998,1.234568,0.07,0.0864,4.531,
9.5869,0.0512,0.5776,0.5998,1.234568,0.07,0.0864,5.9587,
9.6671,0.1108,0.701,0.6997,1.234568,0.07,0.0864,7.3864,
9.7393,0.1798,0.8245,0.7996,1.234568,0.07,0.0864,8.814,
9.8025,0.2573,0.9479,0.8996,1.234568,0.07,0.0864,10.2417,
9.8557,0.3419,1.0714,0.9995,1.234568,0.07,0.0864,11.6694,
9.898,0.4324,1.1948,1.0994,1.234568,0.07,0.0864,13.097,
9.9289,0.5274,1.3183,1.1994,1.234568,0.07,0.0864,14.5247,
9.9479,0.6256,1.4418,1.2993,1.234568,0.07,0.0864,15.9524,
9.9546,0.7253,1.5652,1.3992,1.234568,0.07,0.0864,17.38,
9.949,0.825,1.6887,1.4992,1.234568,0.07,0.0864,18.8077,
9.9311,0.9234,1.8121,1.5991,1.234568,0.07,0.0864,20.2354,
9.9013,1.0188,1.9356,1.6991,1.080258,0.07,0.0756,21.663,
9.8614,1.1104,2.0282,1.799,0.925926,0.07,0.0648,23.0911,
9.8131,1.1979,2.1208,1.899,0.925926,0.07,0.0648,24.5191,
9.757,1.2807,2.2134,1.9989,0.771613,0.2547,0.1965,25.1348,
9.6946,1.3588,2.2751,2.0989,0.462968,0.3534,0.1636,25.4637,
9.6287,1.434,2.306,2.1989,0.308642,0.43,0.1327,25.719,
9.5605,1.5071,2.3368,2.2989,0.308642,0.4948,0.1527,25.9353,
9.4901,1.5781,2.3677,2.3989,0.308642,0.5,0.1543,26.1363,
9.4175,1.6469,2.3985,2.4989,0.308642,0.5,0.1543,26.3363,
9.3428,1.7134,2.4294,2.5989,0.308642,0.5,0.1543,26.5363,
9.2661,1.7776,2.4603,2.6989,0.154323,0.5,0.0772,26.7363,
9.1885,1.8406,2.4603,2.7989,0.0,0.5,0.0,26.9363,
9.1108,1.9035,2.4603,2.8989,0.0,0.5,0.0,27.1363,
9.0331,1.9665,2.4603,2.9989,-0.0,0.5,-0.0,27.3363,
8.9554,2.0295,2.4603,3.0989,0.0,0.5,0.0,27.5363,
8.8778,2.0925,2.4603,3.1989,0.0,0.5,0.0,27.7363,
8.8001,2.1555,2.4603,3.2989,0.0,0.5,0.0,27.9363,
8.7224,2.2185,2.4603,3.3989,0.0,0.5,0.0,28.1363,
8.6447,2.2814,2.4603,3.4989,0.0,0.5,0.0,28.3363,
8.5671,2.3444,2.4603,3.5989,0.0,0.5,0.0,28.5363,
8.4894,2.4074,2.4603,3.6989,0.0,0.5,0.0,28.7363,
8.4117,2.4704,2.4603,3.7989,0.154323,0.5,0.0772,28.9363,
8.3331,2.5322,2.4911,3.8989,0.462968,0.5,0.2315,29.1363,
8.2517,2.5902,2.5529,3.9989,0.617284,0.4526,0.2794,29.3462,
8.1669,2.6431,2.6146,4.0989,0.771613,0.3238,0.2499,29.6037,
8.0782,2.6894,2.7072,4.1988,0.925926,0.07,0.0648,30.1114,
7.9857,2.7272,2.7998,4.2988,1.080258,0.07,0.0756,31.5394,
7.8897,2.7548,2.9232,4.3987,1.080258,0.07,0.0756,32.9671,
7.7912,2.7719,3.0158,4.4987,0.771613,0.2547,0.1965,33.5828,
7.6916,2.7814,3.0776,4.5987,0.462968,0.3534,0.1636,33.9117,
