x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
1.6799,3.197,-3.115,0.0,0.0,0.0,0.0,0.0,drop_rear
1.5799,3.1943,-3.115,0.1,0.0,0.2449,0.0,0.8165,
1.48,3.1917,-3.115,0.2,0.0,0.3464,0.0,1.1547,
1.38,3.189,-3.115,0.3,0.0,0.4243,0.0,1.4142,
1.28,3.1864,-3.115,0.4,0.0,0.4899,0.0,1.633,
1.1801,3.1837,-3.115,0.5,0.0,0.5,0.0,1.835,
1.0801,3.181,-3.115,0.6,-0.154323,0.5,-0.0772,2.035,
0.9801,3.1799,3.1373,0.7,-0.154323,0.5,-0.0772,2.235,
0.8801,3.1804,3.1373,0.8,0.0,0.5,0.0,2.435,
0.7801,3.1808,3.1373,0.9,0.0,0.5,0.0,2.635,
0.6801,3.1812,3.1373,1.0,0.0,0.5,0.0,2.835,
0.5801,3.1816,3.1373,1.1,0.0,0.5,0.0,3.035,
0.4801,3.1821,3.1373,1.2,0.0,0.5,0.0,3.235,
0.3801,3.1825,3.1373,1.3,0.0,0.5,0.0,3.435,
0.2801,3.1829,3.1373,1.4,0.0,0.5,0.0,3.635,
0.1801,3.1833,3.1373,1.5,0.0,0.5,0.0,3.835,
0.0801,3.1838,3.1373,1.6,0.0,0.5,0.0,4.035,
-0.0199,3.1842,3.1373,1.7,0.0,0.5,0.0,4.235,
-0.1199,3.1846,3.1373,1.8,0.0,0.5,0.0,4.435,
-0.2199,3.1851,3.1373,1.9,0.0,0.5,0.0,4.635,
-0.3199,3.1855,3.1373,2.0,0.0,0.5,0.0,4.835,
-0.4199,3.1859,3.1373,2.1,-0.0,0.5,-0.0,5.035,
-0.5199,3.1863,3.1373,2.2,0.0,0.4472,0.0,5.2462,
-0.6199,3.1868,3.1373,2.3,0.0,0.3162,0.0,5.5081,
-0.7199,3.1872,3.1373,2.4,0.0,0.0,0.0,6.1406,finish_park
