x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
-0.376,0.112,0.02,0.0,0.0,0.5,0.0,0.0,start
-0.276,0.114,0.02,0.1,0.0,0.5,0.0,0.2,
-0.176,0.116,0.02,0.2,0.0,0.5,0.0,0.4,
-0.0761,0.118,0.02,0.3,0.0,0.5,0.0,0.6,
0.0239,0.12,0.02,0.4,0.0,0.5,0.0,0.8,
0.1239,0.122,0.02,0.5,0.0,0.5,0.0,1.0,
0.2239,0.124,0.02,0.6,-0.0,0.5,-0.0,1.2,
0.3239,0.126,0.02,0.7,-0.0,0.5,-0.0,1.4,
0.4238,0.128,0.02,0.8,0.0,0.5,0.0,1.6,
0.5238,0.13,0.02,0.9,-0.0,0.5,-0.0,1.8,
0.6238,0.132,0.02,1.0,0.0,0.5,0.0,2.0,
0.7238,0.134,0.02,1.1,0.0,0.5,0.0,2.2,
0.8238,0.136,0.02,1.2,0.0,0.5,0.0,2.4,
0.9237,0.138,0.02,1.3,0.0,0.5,0.0,2.6,
1.0237,0.14,0.02,1.4,0.0,0.5,0.0,2.8,
1.1237,0.142,0.02,1.5,0.0,0.5,0.0,3.0,
1.2237,0.144,0.02,1.6,0.0,0.5,0.0,3.2,
1.3237,0.146,0.02,1.7,0.0,0.5,0.0,3.4,
1.4236,0.148,0.02,1.8,0.0,0.5,0.0,3.6,
1.5236,0.15,0.02,1.9,0.0,0.5,0.0,3.8,
1.6236,0.152,0.02,2.0,0.0,0.5,0.0,4.0,
1.7236,0.154,0.02,2.1,0.0,0.5,0.0,4.2,
1.8236,0.156,0.02,2.2,0.0,0.5,0.0,4.4,
1.9235,0.158,0.02,2.3,0.0,0.5,0.0,4.6,
2.0235,0.16,0.02,2.4,-0.0,0.4472,-0.0,4.8111,
2.1235,0.162,0.02,2.5,0.0,0.3162,0.0,5.0731,
2.2235,0.164,0.02,2.6,0.0,0.0,0.0,5.7056,traffic_light_stop_line
