x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
2.215,0.222,0.045,0.0,0.0,0.0,0.0,0.0,traffic_light_stop_line
2.3149,0.2265,0.045,0.1,0.0,0.2449,0.0,0.8165,
2.4148,0.231,0.045,0.2,0.0,0.3464,0.0,1.1547,
2.5147,0.2355,0.045,0.3,0.0,0.4243,0.0,1.4142,
2.6146,0.24,0.045,0.4,0.0,0.4899,0.0,1.633,
2.7145,0.2445,0.045,0.5,0.0,0.5,0.0,1.835,
2.8144,0.249,0.045,0.6,-0.0,0.5,-0.0,2.035,
2.9143,0.2535,0.045,0.7,0.0,0.5,0.0,2.235,
3.0142,0.258,0.045,0.8,0.0,0.5,0.0,2.435,
3.1141,0.2625,0.045,0.9,0.0,0.5,0.0,2.635,
3.214,0.267,0.045,1.0,0.0,0.5,0.0,2.835,
3.3139,0.2715,0.045,1.1,0.0,0.5,0.0,3.035,
3.4138,0.276,0.045,1.2,0.0,0.5,0.0,3.235,
3.5137,0.2805,0.045,1.3,0.0,0.5,0.0,3.435,
3.6136,0.285,0.045,1.4,0.0,0.4359,0.0,3.6487,
3.7135,0.2895,0.045,1.5,0.0,0.3,0.0,3.9205,random_obstacle_entry
3.8134,0.294,0.045,1.6,0.0,0.3,0.0,4.2538,
3.9133,0.2985,0.045,1.7,0.0,0.3,0.0,4.5872,
4.0132,0.303,0.045,1.8,-0.0,0.3,-0.0,4.9205,
4.1131,0.3075,0.045,1.9,0.0,0.3,0.0,5.2538,
4.213,0.312,0.045,2.0,0.0,0.3,0.0,5.5872,
4.3129,0.3165,0.045,2.1,0.0,0.3,0.0,5.9205,
4.4128,0.321,0.045,2.2,0.0,0.3,0.0,6.2538,
4.5127,0.3255,0.045,2.3,-0.154323,0.3,-0.0463,6.5872,
4.6126,0.3284,0.0141,2.4,-0.308642,0.3,-0.0926,6.9205,
4.7126,0.3283,-0.0167,2.5,-0.154323,0.3,-0.0463,7.2538,
4.8126,0.3266,-0.0167,2.6,0.0,0.3,0.0,7.5872,
4.9126,0.3249,-0.0167,2.7,0.0,0.3,0.0,7.9205,
5.0126,0.3233,-0.0167,2.8,0.0,0.3,0.0,8.2538,
5.1126,0.3216,-0.0167,2.9,0.0,0.3,0.0,8.5872,
5.2125,0.3199,-0.0167,3.0,0.0,0.3,0.0,8.9205,
5.3125,0.3183,-0.0167,3.1,0.0,0.3,0.0,9.2538,
5.4125,0.3166,-0.0167,3.2,0.0,0.3,0.0,9.5872,
5.5125,0.3149,-0.0167,3.3,0.0,0.3,0.0,9.9205,
5.6125,0.3132,-0.0167,3.4,0.0,0.3,0.0,10.2538,
5.7125,0.3116,-0.0167,3.5,0.0,0.3,0.0,10.5872,
5.8125,0.3099,-0.0167,3.6,0.0,0.3,0.0,10.9205,
5.9125,0.3082,-0.0167,3.7,0.0,0.3,0.0,11.2538,
6.0124,0.3065,-0.0167,3.8,0.0,0.3,0.0,11.5872,
6.1124,0.3049,-0.0167,3.9,0.0,0.3,0.0,11.9205,
6.2124,0.3032,-0.0167,4.0,0.0,0.3,0.0,12.2538,
6.3124,0.3015,-0.0167,4.1,0.0,0.3,0.0,12.5872,
6.4124,0.2999,-0.0167,4.2,0.0,0.3,0.0,12.9205,
6.5124,0.2982,-0.0167,4.3,0.0,0.3,0.0,13.2538,
6.6124,0.2965,-0.0167,4.4,0.0,0.3,0.0,13.5872,random_obstacle_exit
6.7123,0.2948,-0.0167,4.5,0.0,0.3873,0.0,13.8781,
6.8123,0.2932,-0.0167,4.6,0.0,0.4583,0.0,14.1147,
6.9123,0.2915,-0.0167,4.7,0.0,0.5,0.0,14.3234,
7.0123,0.2898,-0.0167,4.8,0.0,0.5,0.0,14.5234,
7.1123,0.2881,-0.0167,4.9,0.0,0.5,0.0,14.7234,
7.2123,0.2865,-0.0167,5.0,0.0,0.5,0.0,14.9234,
7.3123,0.2848,-0.0167,5.1,0.0,0.5,0.0,15.1234,
7.4122,0.2831,-0.0167,5.2,0.0,0.5,0.0,15.3234,
7.5122,0.2815,-0.0167,5.3,0.0,0.5,0.0,15.5234,
7.6122,0.2798,-0.0167,5.4,0.0,0.5,0.0,15.7234,
7.7122,0.2781,-0.0167,5.5,0.0,0.5,0.0,15.9234,
7.8122,0.2764,-0.0167,5.6,0.0,0.5,0.0,16.1234,
7.9122,0.2748,-0.0167,5.7,0.0,0.5,0.0,16.3234,
8.0122,0.2731,-0.0167,5.8,-0.0,0.5,-0.0,16.5234,
8.1121,0.2714,-0.0167,5.9,0.0,0.5,0.0,16.7234,
8.2121,0.2697,-0.0167,6.0,0.0,0.4472,0.0,16.9345,
8.3121,0.2681,-0.0167,6.1,0.0,0.3162,0.0,17.1965,
8.4121,0.2664,-0.0167,6.2,0.0,0.0,0.0,17.829,pickup_front
