x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
2.077,3.37,3.108,0.0,3.947093,0.0,0.0,0.0,drop_dock
1.9815,3.3557,-2.7998,0.0966,3.947093,0.2251,0.8885,0.8583,
1.8998,3.3081,-2.4408,0.1912,3.22587,0.249,0.8032,1.2572,
1.8313,3.2303,-2.1654,0.2948,2.075581,0.3104,0.6443,1.6279,
1.7753,3.1254,-1.9731,0.4137,1.256265,0.399,0.5013,1.9629,
1.7312,2.9968,-1.8391,0.5497,0.784806,0.4907,0.3851,2.2686,
1.6984,2.8475,-1.7424,0.7026,0.520863,0.5,0.2604,2.5772,
1.6761,2.6806,-1.6694,0.8709,0.368685,0.5,0.1843,2.9138,
1.6636,2.4995,-1.6119,1.0524,0.277509,0.5,0.1388,3.2769,
1.6605,2.3072,-1.5647,1.2447,0.221327,0.5,0.1107,3.6616,
1.6658,2.107,-1.5243,1.445,0.186596,0.5,0.0933,4.0622,
1.6791,1.9019,-1.4885,1.6505,0.166169,0.5,0.0831,4.4731,
1.6997,1.6953,-1.4553,1.8582,0.156425,0.5,0.0782,4.8885,
1.7268,1.4902,-1.4233,2.0651,0.15599,0.5,0.078,5.3023,
1.7598,1.2897,-1.391,2.2682,0.165342,0.5,0.0827,5.7086,
1.7982,1.0972,-1.3569,2.4645,0.187149,0.5,0.0936,6.1011,
1.8411,0.9158,-1.3189,2.651,0.227644,0.5,0.1138,6.474,
1.888,0.7486,-1.2741,2.8246,0.300201,0.5,0.1501,6.8213,
1.9381,0.5988,-1.2179,2.9826,0.434693,0.5,0.2173,7.1373,
1.9909,0.4696,-1.1421,3.1222,0.704175,0.5,0.3521,7.4164,
2.0456,0.3641,-1.0305,3.241,1.30898,0.3909,0.5117,7.6832,
2.1017,0.2856,-0.8479,3.3374,2.845286,0.2651,0.7544,7.9773,
2.1583,0.2372,-0.5175,3.412,6.634781,0.1736,1.1519,8.3171,
2.215,0.222,0.045,3.4706,2.804195,0.0,0.0,8.9927,traffic_light_stop_line
2.381,0.2313,0.0658,3.6369,0.096821,0.3158,0.0306,10.0455,
2.5542,0.244,0.0782,3.8106,0.048519,0.4516,0.0219,10.4981,
2.7342,0.2586,0.0832,3.9912,0.00912,0.5,0.0046,10.8776,
2.9205,0.2741,0.0817,4.1781,-0.023923,0.5,-0.012,11.2515,
3.1127,0.2892,0.0742,4.3709,-0.052442,0.5,-0.0262,11.6371,
3.3103,0.3027,0.0613,4.569,-0.077748,0.5,-0.0389,12.0332,
3.5129,0.3134,0.0431,4.7718,-0.100766,0.5,-0.0504,12.439,
3.72,0.32,0.02,4.979,-0.108404,0.3,-0.0325,12.9571,random_obstacle_entry
3.8469,0.3218,0.0091,5.106,-0.05867,0.3,-0.0176,13.3801,
4.0017,0.3226,0.0027,5.2607,-0.031337,0.3,-0.0094,13.896,
4.1802,0.3227,-0.0016,5.4393,-0.019112,0.3,-0.0057,14.4911,
4.3784,0.322,-0.0047,5.6374,-0.012783,0.3,-0.0038,15.1517,
4.5921,0.3208,-0.007,5.8512,-0.009159,0.3,-0.0027,15.8641,
4.8172,0.319,-0.0088,6.0763,-0.006929,0.3,-0.0021,16.6146,
5.0497,0.3168,-0.0102,6.3088,-0.005484,0.3,-0.0016,17.3894,
5.2853,0.3142,-0.0113,6.5444,-0.004514,0.3,-0.0014,18.175,
5.5201,0.3115,-0.0123,6.7792,-0.00385,0.3,-0.0012,18.9575,
5.7498,0.3085,-0.0131,7.0089,-0.003398,0.3,-0.001,19.7232,
5.9703,0.3056,-0.0138,7.2295,-0.003105,0.3,-0.0009,20.4585,
6.1777,0.3026,-0.0145,7.4368,-0.00295,0.3,-0.0009,21.1497,
6.3676,0.2998,-0.015,7.6268,-0.002935,0.3,-0.0009,21.7829,
6.5361,0.2973,-0.0155,7.7953,-0.003114,0.3,-0.0009,22.3446,
6.679,0.295,-0.016,7.9382,-0.216718,0.3,-0.065,22.821,random_obstacle_exit
6.8466,0.2867,-0.0785,8.106,-0.302808,0.4367,-0.1322,23.2766,
7.0257,0.2684,-0.1228,8.2861,-0.201429,0.5,-0.1007,23.6611,
7.2138,0.242,-0.1538,8.476,-0.132817,0.5,-0.0664,24.0408,
7.4079,0.2096,-0.1746,8.6728,-0.082508,0.5,-0.0413,24.4345,
7.6055,0.1734,-0.1869,8.8737,-0.041803,0.5,-0.0209,24.8363,
7.8039,0.1353,-0.1916,9.0757,-0.004702,0.5,-0.0024,25.2403,
8.0003,0.0973,-0.1888,9.2758,0.033961,0.5,0.017,25.6405,
8.1921,0.0616,-0.178,9.4709,0.080059,0.5,0.04,26.0306,
8.3766,0.0302,-0.1578,9.658,0.142176,0.5,0.0711,26.4049,
8.551,0.005,-0.1255,9.8343,0.235251,0.5,0.1176,26.7573,
8.7127,-0.0117,-0.0767,9.9968,0.388479,0.3826,0.1486,27.1257,
8.859,-0.018,-0.003,10.1432,0.388479,0.0,0.0,27.8909,pickup_dock
