x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
8.859,-0.018,-0.003,0.0,4.82713,0.0,0.0,0.0,pickup_dock
8.947,-0.0038,0.3541,0.0891,4.82713,0.2035,0.9826,0.8757,
9.0125,0.0378,0.7824,0.1667,5.252711,0.1951,1.025,1.2649,
9.0569,0.1042,1.1572,0.2466,3.694845,0.2327,0.8596,1.6384,
9.0814,0.193,1.4198,0.3387,2.125492,0.3068,0.652,1.98,
9.0875,0.3017,1.594,0.4476,1.218,0.3993,0.4863,2.2884,
9.0764,0.4278,1.7134,0.5742,0.746849,0.4852,0.3623,2.5747,
9.0495,0.5689,1.7998,0.7178,0.495988,0.5,0.248,2.8663,
9.008,0.7224,1.8657,0.8768,0.355155,0.5,0.1776,3.1843,
8.9534,0.8858,1.9188,1.0492,0.2723,0.5,0.1362,3.529,
8.8869,1.0568,1.9634,1.2326,0.222234,0.5,0.1111,3.8958,
8.8098,1.2327,2.0028,1.4247,0.192246,0.5,0.0961,4.2799,
8.7235,1.4111,2.0389,1.6229,0.175765,0.5,0.0879,4.6763,
8.6294,1.5896,2.0734,1.8246,0.16952,0.5,0.0848,5.0799,
8.5287,1.7656,2.1078,2.0274,0.172281,0.5,0.0861,5.4855,
8.4227,1.9367,2.1433,2.2286,0.184406,0.5,0.0922,5.8879,
8.3128,2.1003,2.1816,2.4258,0.207933,0.5,0.104,6.2821,
8.2004,2.2541,2.2244,2.6162,0.247251,0.5,0.1236,6.6631,
8.0867,2.3954,2.2742,2.7976,0.310695,0.5,0.1553,7.0259,
7.973,2.5218,2.3346,2.9677,0.41394,0.5,0.207,7.366,
7.8607,2.6309,2.411,3.1242,0.58711,0.5,0.2936,7.6791,
7.7512,2.7202,2.5121,3.2655,0.889079,0.4743,0.4217,7.9691,
7.6456,2.7871,2.652,3.3905,1.430076,0.374,0.5348,8.2637,
7.5455,2.8292,2.8525,3.4991,2.363883,0.2909,0.6876,8.5906,
7.452,2.844,3.138,3.5938,1.333679,0.3,0.4001,8.9109,cone_lane_change_entry
7.3195,2.8447,3.1347,3.7262,-0.017358,0.3,-0.0052,9.3525,
7.1633,2.846,3.1328,3.8825,-0.009137,0.3,-0.0027,9.8733,
6.9863,2.8476,3.1316,4.0595,-0.004973,0.3,-0.0015,10.4632,
6.7916,2.8497,3.1309,4.2542,-0.002562,0.3,-0.0008,11.1122,
6.5822,2.8519,3.1305,4.4636,-0.000993,0.3,-0.0003,11.8103,
6.3612,2.8544,3.1305,4.6847,0.000158,0.3,0.0,12.5472,
6.1314,2.8569,3.1306,4.9144,0.001112,0.3,0.0003,13.3131,
5.896,2.8595,3.131,5.1498,0.00201,0.3,0.0006,14.0977,
5.658,2.8619,3.1316,5.3878,0.002959,0.3,0.0009,14.8912,
5.4204,2.8642,3.1324,5.6255,0.00407,0.3,0.0012,15.6832,
5.1862,2.8663,3.1335,5.8597,0.005482,0.3,0.0016,16.464,
4.9584,2.8679,3.1349,6.0874,0.007407,0.3,0.0022,17.2232,
4.7401,2.8692,3.1368,6.3058,0.010202,0.3,0.0031,17.9509,
4.5343,2.8699,3.1393,6.5116,0.014532,0.3,0.0044,18.6371,
4.3439,2.8701,-3.1405,6.702,0.021751,0.3,0.0065,19.2716,
4.1721,2.8695,-3.1358,6.8738,0.03494,0.3,0.0105,19.8444,
4.0218,2.8682,-3.129,7.0241,0.062217,0.3,0.0187,20.3455,
3.896,2.866,-3.118,7.1499,-0.401734,0.3,-0.1205,20.7648,cone_lane_change_exit
3.6938,2.8758,3.0261,7.3523,-0.609216,0.4598,-0.2801,21.2976,
3.4929,2.9108,2.9176,7.5562,-0.457929,0.5,-0.229,21.7224,
3.2946,2.9648,2.8381,7.7618,-0.32059,0.5,-0.1603,22.1336,
3.1,3.032,2.7851,7.9677,-0.197126,0.5,-0.0986,22.5453,
2.9103,3.1061,2.7571,8.1714,-0.077921,0.5,-0.039,22.9526,
2.7267,3.1812,2.7541,8.3697,0.053206,0.5,0.0266,23.3494,
2.5503,3.2511,2.7787,8.5594,0.221281,0.5,0.1106,23.7288,
2.3825,3.31,2.8374,8.7373,0.466961,0.5,0.2335,24.0845,
2.2243,3.3516,2.9415,8.9008,0.853053,0.3853,0.3287,24.454,
2.077,3.37,3.108,9.0493,0.853053,0.0,0.0,25.2246,drop_dock
