x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
2.077,3.37,-3.076,0.0,-0.0,0.0,-0.0,0.0,drop_dock
1.8422,3.3546,-3.076,0.2353,-0.0,0.3757,-0.0,1.2523,
1.6075,3.3392,-3.076,0.4705,0.0,0.5,0.0,1.7896,
1.3727,3.3237,-3.076,0.7058,-0.0,0.5,-0.0,2.2602,
1.138,3.3083,-3.076,0.941,0.0,0.5,0.0,2.7307,
0.9032,3.2929,-3.076,1.1763,0.0,0.5,0.0,3.2012,
0.6685,3.2775,-3.076,1.4115,-0.0,0.5,-0.0,3.6717,
0.4337,3.2621,-3.076,1.6468,0.0,0.5,0.0,4.1422,
0.199,3.2467,-3.076,1.882,-0.0,0.5,-0.0,4.6127,
-0.0358,3.2313,-3.076,2.1173,0.0,0.5,0.0,5.0832,
-0.2705,3.2158,-3.076,2.3526,-0.0,0.5,-0.0,5.5537,
-0.5053,3.2004,-3.076,2.5878,0.0,0.485,0.0,6.0314,
-0.74,3.185,3.128,2.8231,0.0,0.0,0.0,7.0015,finish_park
