x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
-0.376,0.112,0.0424,0.0,0.0,0.5,0.0,0.0,start
-0.1405,0.122,0.0424,0.2358,0.0,0.5,0.0,0.4715,
0.0951,0.132,0.0424,0.4715,0.0,0.5,0.0,0.943,
0.3306,0.142,0.0424,0.7073,-0.0,0.5,-0.0,1.4145,
0.5662,0.152,0.0424,0.943,0.0,0.5,0.0,1.8861,
0.8017,0.162,0.0424,1.1788,-0.0,0.5,-0.0,2.3576,
1.0373,0.172,0.0424,1.4145,0.0,0.5,0.0,2.8291,
1.2728,0.182,0.0424,1.6503,0.0,0.5,0.0,3.3006,
1.5084,0.192,0.0424,1.8861,-0.0,0.5,-0.0,3.7721,
1.7439,0.202,0.0424,2.1218,-0.0,0.5,-0.0,4.2436,
1.9795,0.212,0.0424,2.3576,0.0,0.4855,0.0,4.7221,
2.215,0.222,0.045,2.5933,0.0,0.0,0.0,5.6932,traffic_light_stop_line
