x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
2.215,0.222,0.045,0.0,0.104395,0.0,0.0,0.0,traffic_light_stop_line
2.3649,0.2306,0.0673,0.1502,0.104395,0.3002,0.0313,1.0006,
2.5306,0.2429,0.0789,0.3163,0.043587,0.4356,0.019,1.4521,
2.7096,0.2575,0.0829,0.4959,0.004095,0.5,0.002,1.836,
2.8995,0.2732,0.0807,0.6865,-0.025003,0.5,-0.0125,2.2171,
3.0979,0.2886,0.0733,0.8855,-0.049413,0.5,-0.0247,2.6152,
3.3024,0.3024,0.0608,1.0904,-0.072616,0.5,-0.0363,3.0251,
3.5106,0.3133,0.0432,1.2989,-0.09721,0.5,-0.0486,3.442,
3.72,0.32,0.02,1.5084,-0.108516,0.3,-0.0326,3.9658,random_obstacle_entry
3.8469,0.3218,0.0091,1.6353,-0.05867,0.3,-0.0176,4.3888,
4.0017,0.3226,0.0027,1.7901,-0.031337,0.3,-0.0094,4.9047,
4.1802,0.3227,-0.0016,1.9686,-0.019112,0.3,-0.0057,5.4998,
4.3784,0.322,-0.0047,2.1668,-0.012783,0.3,-0.0038,6.1604,
4.5921,0.3208,-0.007,2.3805,-0.009159,0.3,-0.0027,6.8728,
4.8172,0.319,-0.0088,2.6057,-0.006929,0.3,-0.0021,7.6233,
5.0497,0.3168,-0.0102,2.8381,-0.005484,0.3,-0.0016,8.3982,
5.2853,0.3142,-0.0113,3.0738,-0.004514,0.3,-0.0014,9.1837,
5.5201,0.3115,-0.0123,3.3085,-0.00385,0.3,-0.0012,9.9662,
5.7498,0.3085,-0.0131,3.5382,-0.003398,0.3,-0.001,10.732,
5.9703,0.3056,-0.0138,3.7588,-0.003105,0.3,-0.0009,11.4673,
6.1777,0.3026,-0.0145,3.9662,-0.00295,0.3,-0.0009,12.1584,
6.3676,0.2998,-0.015,4.1562,-0.002935,0.3,-0.0009,12.7917,
6.5361,0.2973,-0.0155,4.3247,-0.003114,0.3,-0.0009,13.3533,
6.679,0.295,-0.016,4.4676,-0.216718,0.3,-0.065,13.8297,random_obstacle_exit
6.8466,0.2867,-0.0785,4.6354,-0.302808,0.4367,-0.1322,14.2853,
7.0257,0.2684,-0.1228,4.8155,-0.201429,0.5,-0.1007,14.6698,
7.2138,0.242,-0.1538,5.0053,-0.132817,0.5,-0.0664,15.0495,
7.4079,0.2096,-0.1746,5.2022,-0.082508,0.5,-0.0413,15.4432,
7.6055,0.1734,-0.1869,5.4031,-0.041803,0.5,-0.0209,15.845,
7.8039,0.1353,-0.1916,5.6051,-0.004702,0.5,-0.0024,16.249,
8.0003,0.0973,-0.1888,5.8051,0.033961,0.5,0.017,16.6492,
8.1921,0.0616,-0.178,6.0002,0.080059,0.5,0.04,17.0394,
8.3766,0.0302,-0.1578,6.1874,0.142176,0.5,0.0711,17.4136,
8.551,0.005,-0.1255,6.3636,0.235251,0.5,0.1176,17.7661,
8.7127,-0.0117,-0.0767,6.5262,0.388479,0.3826,0.1486,18.1344,
8.859,-0.018,-0.003,6.6726,0.388479,0.0,0.0,18.8997,pickup_dock
